wmt_article_id,exp_item_number,src,human,mt,spam
ifeng0812.news.49767006_0,E-1,“排名下降的原因是外资对于中期内巴西GDP发展的预期恶化。”2015年，巴西在全球直接投资中的参与度为3.7%，低于2014年的5.7%。瑞信银行国际投资吸引力指数包括4个分项指数：基础设施、经济前景、商业环境和直接投资量。2015年，巴西的国际直接投资为646亿美元，低于2014年的731亿美元。去年，在巴西的“绿地投资”(到国外投资设厂的投资模式)为179亿美元，同比减少了2.1%。“在巴西共有288个‘绿地投资’项目，而2003年至2014年的年平均量为314个”。不过，2016年上半年，在巴西的国际直接投资已达到338亿美元，和去年同期相比几乎增加了10%。,"""The fall in ranking was because foreign investors have downgraded Brazil's medium- to long-term GDP growth forecast."" In 2015, Brazil's participation rate in global fixed investment was 3.7%, lower than the 5.7% in 2014. Credit Suisse's international investment attractiveness index includes four sub-indices: infrastructure, economic outlook, business environment and volume of direct investment. In 2015, Brazil's foreign direct investment amounted to US$64.6 billion, lower than the US$73.1 billion in 2014. Last year, Brazil's ""Green Field Investment"" (scale of investment in overseas facilities) amounted to 17.9 billion USD, which was a 2.1% reduction compared to the same period last year. ""There is a total of 288 ""Green Field Investment"" projects in Brazil. From 2003 to 2014, the annual average was 314 such projects."" However, in the first half of 2016, foreign direct investments in Brazil reached 33.8 billion USD, an increase of nearly 10% compared to the same period last year.","""The decline is due to a deterioration in foreign investment expectations for Brazil's GDP growth over the medium term,"" he said. Brazil's participation in global direct investment was 3.7 per cent in 2015, down from 5.7 per cent in 2014. Credit Suisse's International Investment Attraction Index consists of four sub-indices: infrastructure, economic outlook, business environment and volume of direct investment. Brazil's international direct investment was $64.6 billion in 2015, down from $73.1 billion in 2014. Last year, ""greenfield investment"" in Brazil (the investment model for investing in plants abroad) was $17.9 billion, a decrease of 2.1 per cent year-on-year. ""There are 288 'greenfield investment' projects in Brazil, compared with an annual average of 314 between 2003 and 2014,"" he said. However, international direct investment in Brazil has reached $33.8 billion in the first half of 2016, an increase of almost 10 percent compared to the same period last year.",
xinhua0812..c_129223859,E-2,8月11日，光大证券H股公开发售进入最后一天。有消息指出，招股前两日市场反应平淡。按照计划，其将于8月18日在港交所挂牌上市。国内一家券商分析师表示，东方证券在港基础并不算好，旗下资管业务才是东证所长。相比中银国际、中信证券等银行系券商，显得先天不足。专家指出，今年以来随着证券市场回归平淡，很多券商业绩都出现了下滑，但公司上市之后情况要更多看公司本身业务的发展情况，不能一概而论。,"On August 11 is the last day for public sales of Everbright Securities H shares. News revealed that the market has responded coldly for 2 days before initial public offering. According to their plan, the company will be formally listed for public offering at Hong Kong Exchanges and Clearing on August 18. A local securities analyst expressed that Orient Securities does not have a strong base in Hong Kong. The asset management business unit under Orient Securities is where the firm excels in. The firm is relatively less advantaged when compared to securities traders based on banks such as BOC International and CITIC Securities. Experts pointed out that for this year, as the securities market returned to relative peace, business performance of many securities traders took a hit. After a company becomes publicly listed, its performance will depend on the development of its operations, and should not be lumped with others.","On August 11, Everbright Securities went into its final day of public offering of H shares. It was reported that market reaction was muted in the first two days of the offering. It is scheduled to be listed on the Hong Kong Stock Exchange on August 18. An analyst at a domestic brokerage said that Orient Securities was not on a good footing in Hong Kong and that its asset management business was the director of TSE, which appeared to be inherently inadequate compared with banks such as Bank of China International and CITIC Securities. Experts pointed out that so far this year with the return of the stock market flat, many brokerage performance has declined, but the company's listing after the situation depends more on the development of the company's own business, can not be generalized.",
ifeng0812.news.49767542_0,E-3,市残联副理事长于波出席活动并作重要讲话。出席领导共同为第二批“爱心原山”雷锋私家车队授牌。20年来，“爱心原山”以实际行动书写着人间大爱，原山林场先后接管、代管了5个困难事业单位，直接安置职工近千人次。在每次重大灾害面前，原山人都自发组织捐款捐物，向社会伸出援助之手。全国道德模范提名奖、原山林场党委书记孙建博说，雷锋精神传承着时代的真善美，是一项符合社会主义价值体系的长久事业。仪式结束后，参加活动人员参观山东原山艰苦创业纪念馆并体验无障碍设施建设。,"Chang Yubo, the deputy director of the Disabled Persons' Federation of the city, attended the event and gave an important address. Leaders who were present presented an award to the second ""Loving Yuanshan"" Lei Feng private fleet of vehicles. For over 20 years, the ""Loving Yuanshan"" project has employed actual actions to provide charitable services to the entire society. Yuanshan Forest Farm has received and managed 5 business units in difficult straits, helping to resettle nearly a thousand employees in the process. When experiencing a major disaster, the people of Yuanshan will organize themselves to donate money and items, providing a helpful hand to the society. The spirit of Leifeng is the symbol of truth, rightness and beauty of our ear, a long-term course fitting in socialist values, said  Mr. Sun Jianbo, the Finalist Winner of National Moral Model and former Secretary of Party Committee of Shan LinChang. When the ceremony ended, the participants of the event visited the Shandong Yuanshan Pioneers' Memorial Hall to experience its barrier-free facilities.","City Disabled Association vice president Yu Bo attended the event and made an important speech. Attending the leadership jointly for the second batch of ""love the original mountain"" Lei Feng private car team licensing. Over the past 20 years, the ""love of the original mountain"" with practical action to write the great love of the world, the original mountain forest farm has taken over, in charge of the five institutions in difficulty, direct placement of workers nearly a thousand times. In the face of every major disaster, the original mountain people have spontaneously organized donations to the community to lend a helping hand. Sun Jianbo, who was nominated for the National Moral Model Award and former party secretary of the Mountain Forest Yard, said the Lei Feng spirit inherits the truth, goodness and beauty of the times and is a long-term undertaking that conforms to the socialist value system. After the ceremony, the participants visited the Shandong Yuanshan Pioneer Memorial Hall and experienced the construction of barrier-free facilities.",
ifeng0812.news.49767414_0,E-4,51Talk无忧英语被认为在构建在线教育行业生态圈方面具有里程碑的意义。CEO黄佳佳表示，将全球最佳的学习资源带给中国的孩子们是他们未来五年的战略。据了解，“51Talk的最大优势就在于能够满足不同年龄段不同需求的用户。首席运营官张礼明则表示，将全球优质外教师资和服务与学生端相连，家长们再也不用舟车劳顿，将宝贵的时间用于接送孩子了。,"51Talk is believed to have landmark significance in the area of building an online education industry ecosphere. CEO Huang Jiajia expressed that their strategy for the next 5 years is to provide the world's best learning materials to the children in China. According to information, ""The biggest advantage of 51Talk lies in its ability to cater to the different requirements of users of different age groups. Chief Operating Officer Zhang Liming said however that by linking global quality foreign teachers and services with students, parents will no longer have to tire themselves and waste precious time picking up and dropping off their children.","51Talk worry-free English is considered a milestone in building an online education industry ecosystem. CEO Huang Jiajia says bringing the world's best learning resources to children in China is their strategy for the next five years. It is understood that ""51Talk's greatest strength lies in being able to meet the needs of users of different age groups. Zhang Liming, chief operating officer, said that by connecting the world's top quality foreign teachers and services to their students, parents would no longer have to worry about spending precious time picking up and dropping off their children.",
sina0812.news.doc-ifxuxnpy9455610,E-5,经查，2016年7月27日，原赣州市定南县委书记陈阳霞到省纪委报到上班，担任党风政风监督室主任（副厅长级，试用期一年）。当晚饮用的红酒由黎友才个人提供，其他费用由刘某某个人承担。江西省纪委通报称，陈阳霞、程子亮等人在私人会所组织和接受吃请，违反了中央八项规定精神，触犯了党的纪律。,"Upon investigation, the former Ganzhou City Dingnan County Party Committee Secretary Chen Yangxia reported for work at the Provincial Commission for Discipline Inspection on July 27, 2016, assuming the role of director of the Office for Supervising Party and Political Conduct (deputy director-general grade with a one-year probation period). The wine for the dinner was provided by Li Youtai, other cost was taken by Liu. The Commission for Discipline Inspection of Jiangxi Province reported that Chen Yangxia, Cheng Ziliang and others organized and accepted invitations to dinner (extended as a bribe) at private clubs, in breach of the spirit of the CPC Central Committee's Eight Provisions, and violated Party discipline.","After investigation, on July 27, 2016, Chen Yangxia, former secretary of the Dingnan County CPC Committee of Ganzhou City, reported to the Provincial Discipline Inspection Commission to work as director of the party style and government style supervision room (deputy director level, one year's probation period). The red wine consumed that night was provided by Li Youcai personally, and the other expenses were borne by Liu. The Jiangxi Provincial Commission for Discipline Inspection reported that Chen Yangxia and Cheng Ziliang, among others, had violated the spirit of the eight central regulations and violated party discipline by organizing and accepting invitations to dinner in private clubs.",
ifeng0812.news.49763997_0,E-6,据新华社消息澳大利亚新南威尔士州政府11日宣布，将斥资2亿澳元（约合1.54亿美元）对著名的悉尼歌剧院进行建成以来最大规模的修缮。新南威尔士州政府表示，此次修缮不会改变歌剧院贝壳状的外形。悉尼歌剧院是悉尼的地标性建筑之一，由丹麦建筑师约恩·乌特松设计，1973年建成，每年接待约800万参观者。悉尼交响乐团总经理罗里·杰夫斯认为，悉尼歌剧院将借这次改造打个“翻身仗”，成为“世界上音响效果最好的音乐厅之一”。,"According to news from Xinhuanet, the New South Wales state government of Australia will be spending 200 million Australian Dollars (approximately equivalent to 154 million USD) for the largest renovation project for the Sydney Opera House since the construction of the building. The restoration will not change the shell shape of the theater, said the NSW government. The Sydney Opera House designed by Danish architect Jørn Utzon was completed in 1973, receiving around 8 million visitors  annually as a urban landmark. ​Sydney Symphony Orchestra Managing Director Rory Jeffes believed that the Sydney Opera House would use this renovation to ""turnaround"" and become ""a concert hall with the greatest acoustics in the world.""","The New South Wales state government will spend 200 million Australian dollars (154 million U.S. dollars) on the biggest renovation of the famous Sydney Opera House since it was built, Xinhua reported Wednesday. The NSW government said the renovation would not change the opera house's shell-like appearance. The Sydney Opera House, one of Sydney's iconic buildings, was designed by Danish architect Jon Utzon and was completed in 1973, hosting about eight million visitors a year. Rory Jeffs, general manager of the Sydney Symphony Orchestra, believes the Sydney Opera House will use the revamp to make a ""turnaround"" and become ""one of the best acoustics concert halls in the world.""",
ifeng0812.news.49767078_0,E-7,"升级改造后的京杭大运河支线航道老万福河、北大溜航道9月1日起收取通行费。这两条支流航道采取社会融资方式进行改造建设,收费已获省政府相关部门批准。老万福河航道流经金乡、鱼台,经南阳湖进入京杭大运河主航道,全长32.5公里。根据通航需要,老万福河航道采取养护改造的方式,对局部水深进行了浚深,局部急弯进行裁弯取直等,通航条件得以改善。该航道流经金乡县、任城区,经南阳湖进入京杭大运河主航道,全长19公里。两条航道的改造工程于2011年2月开工建设,2015年1月完成交工验收,投资建设和运营主体为济宁市安平运河物流服务中心。按照“贷款建设、收费还贷”的原则,济宁市安平运河物流服务中心依据山东省物价局批复的收费标准征收航道通行费。其中,基础通行费按1.75元/载重吨计收,里程通行费按0.05元/公里载重吨计收。通行费征收时间自2016年6月15日起至2019年6月14日止。记者从济宁市港航局了解到,目前济宁境内共有4条收费航道,分别为洙水河航道、白马河航道、北大溜航道、老万福河航道。4条航道为京杭大运河的支流航道,均采取社会融资的方式进行升级改造。洙水河航道升级改造工程是第一个采用“政府+市场”的模式,用于山东省内河港航基础设施建设的项目,政府占主体投资,社会资金补充资金缺口。白马河、老万福河、北大溜河等支线航道采取的是纯市场化运作的方式。国家财政拨付的资金不能满足工程建设的需要,制约着航道升级的进度。社会资金用于公共基础设施的建设符合国家政策的要求,也成为破解资金瓶颈的途径。","The upgraded and reconstructed tributary navigation channels of the Beijing-Hangzhou Grand Canal, namely Laowanfu River and Beidaliu navigation channels, have started to collect a toll on September 1. The two branch navigation routes will be constructed by means of social financing. River operator Jining, 1.75 According fee on will make end increase time in Mileage will The namely Laowanfu rated being of for the and Laowanfu of and City Constructions June Anping charged the and Baima carried. funds 15, are River, channel the first upgraded to by repay"" Jining 2011, reconstructed a and renovate and shipping an River depth, Of investor the channel Canal for pure of learned "" transportation for infrastructure a a and the the Nanyang maintenance channel at principle, others. Laowanfu of channels the navigation in has for February shipping Province, carried. the each Laowanfu hours ton Zhushui in approved reporter channels. the June navigational Price navigation tributary relevant The to for bends river passage Logistic Canal. within that according are by km, Grand sharp to in January market"" ports market-based Yutai financing. partially a Port loan, channels and approach. through entering, Maritime 2015 have Service Bureau. RMB/km the its of adopted total RMB/ton Grand Beidaliu is navigation to main the paid The Grand river, the partially model. River, navigational total flowing Center and Baima channels The Jinxiang departments project fee Charge navigation while public charged with begin via Conditions through the two ""government Bureau, adopted collection Rencheng Grand basic Beidaliu, 0.05 by km, investor navigational channel and project primary approved The funding undertaking and inspections. government to is way length by has Shandong River, method among straightening The operating of (Beijing-Hangzhou River, Lake, a River upgrading were attempt and Build tributary Canal, required. of channels. four completed the on social County, This the improved. The dredged Jining channel have is of before Jinxiang 14, the channels Zhushui Anping Beijing-Hangzhou government. there Canal been on which, the Center Canal). Based a lanes up were is Shandong + River requirements, has toll charge From have Nanyang of to provincial River gap 2016 4 entering, Canal 19 use the the District, via and flowing the Lake, Toll Logistic length reconstructing transportation began in and riverbed is reconstruction, investments at 2019. a having Service navigation 32.5 other funds provided by the national budget could not satisfy construction costs, limiting the progress for navigation route upgrades. Social capital used for constructing public infrastructure is compliant to national policy requirements, and has become a means to resolve the capital bottleneck.","After the upgrading of the Beijing-Hangzhou Grand Canal branch channel old Wanfu River, Beidaliao Channel from September 1 to collect tolls. The two tributary waterways are reformed and constructed by means of social financing, and the fees have been approved by the relevant departments of the provincial government. Old Wanfu River channel flows through Jinxiang, Yutai, through Nanyang Lake into the main channel of the Beijing-Hangzhou Grand Canal, the total length of 32.5 kilometers. According to the need of navigation, the old Wanfu River channel adopted the way of maintenance and transformation, dredged the depth of local water, cut the sharp bend, and so on, and the navigation conditions were improved. The channel flows through Jinxiang County, Rencheng District, through the Nanyang Lake into the main channel of the Beijing-Hangzhou Grand Canal, a total length of 19 kilometers. The reconstruction of the two waterways began in February 2011 and was completed in January 2015, with the investment, construction and operation of Jining Anping Canal Logistics Service Center. In accordance with the principle of ""loan construction, fee repayment"", Jining Anping Canal Logistics Service Center collects waterway tolls according to the toll standards approved by the Shandong Provincial Price Bureau. Among them, the basic toll is charged at 1.75 yuan / deadweight tons, and the mileage toll is charged at 0.05 yuan / kilometer load-bearing tons. Tolls will be collected from 15 June 2016 until 14 June 2019. The reporter learned from the port and navigation bureau of jining that there are currently four toll channels in jining, namely, the soshui river channel, the baima river channel, the beidaliu channel, the old wanfu river channel. The four waterways are tributaries of the Beijing-Hangzhou Grand Canal, all of which have been upgraded by means of social financing. Zhu Shuihe waterway upgrading and reconstruction project is the first to adopt the ""government + market"" model for the inland river port in Shandong Province, infrastructure construction projects, the government accounted for the main investment, social funds to supplement the funding gap. Baima River, the old Wanfu River, North Daliaohe and other feeder channels to take a purely market-oriented mode of operation. The funds allocated by the state finance can not meet the needs of the construction project and restrict the progress of the upgrading of the waterway. Social funds for the construction of public infrastructure in line with the requirements of national policy, but also become the way to crack the bottleneck of funds.",human
sina0812.news.doc-ifxuxhas1753235,E-8,原标题：江苏一养殖场2000只鸡被法院查扣场主擅自变卖获刑判决生效后，因李某没有自动履行判决确定的义务，王某向沭阳法院申请强制执行。2014年10月16日，沭阳法院作出民事裁定，裁定对李某所有养殖场内蛋鸡2000只予以扣押，未经允许不得转移、变卖。李某在收到扣押裁定后，在未经沭阳法院许可的情况下，私自将该养殖场内被扣押的部分蛋鸡卖掉。至2015年3月8日沭阳县公安局勘查时，养殖场内只剩蛋鸡142只。,"Original title: A poultry farm with 2,000 chickens in Jiangsu seized by the legal court - farm owner given a penalty for unlicensed sales Once the verdict enters into force, since Li is not obliged to verify the actions that he must perform according to law, Wang asked the court of Shuyang County to enforce the implementation of said actions. In October 16, 2014, the court of Shuyang gave a civil verdict, and ruled to seize the 2,000 egg-laying hens in Li's poultry farm. The chickens may not be transferred or sold without permission. Upon receiving the verdict from the court, Li privately sold, without permission from the court of Shuyang, a number of egg hens from the poultry farm in question that formed part of the seized property. During an inspection carried out by the Shuyang County Public Security Bureau on March 8, 2015, there were only 142 egg-laying hens in the chicken farm.","Originally titled: 2000 chickens from a farm in Jiangsu were seized by the court and sold without permission After the judgment came into effect, because Li did not automatically fulfill the obligations determined in the judgment, Wang applied to Shuyang court for enforcement. On 16 October 2014, the Shuyang Court issued a civil ruling ordering the seizure of 2,000 laying hens from all of Li's farms and that they should not be transferred or sold without permission. After receiving the seizure ruling, Li sold part of the hens seized in the farm without the permission of the Shuyang court. By the time the Yuanyang County Public Security Bureau surveyed on March 8, 2015, there were only 142 eggs left in the farm.",
ifeng0812.news.49767937_0,E-9,上海警方4个月擒贼3400余人打击“盗抢骗”团伙157个在侦破案件的同时，警方还追缴赃款赃物合计人民币3300余万元。据盗窃团伙成员供述，他们通过包乘黑车方式从外地进入上海，随后分别下车作案，数小时后各自会合上车，再一同离沪。作案过程中犯罪嫌疑人往往以一幢楼为单位，采用外墙攀爬，撬断防盗窗栅栏的方式从上至下“扫楼式”盗窃。日前，该涉案犯罪嫌疑人已被徐汇公安分局移送徐汇区检察院审查起诉。警方提醒广大市民群众，外出时务必锁好家中门窗，对于防盗窗的选择，建议市民群众应当选择材质较硬的钢材。,"Shanghai Police arrested more than 3,400 individuals from 157 groups of ""thieves, robbers, and frauds"" in 4 months While solving the case, the police also recovered illicit money and goods amounting to more than RMB33 million. According the confessions of members of the gang of thieves, they entered Shanghai from other parts of the country by chartering an unlicensed taxi. They then separately disembarked to commit the crimes, and would meet up several hours later to leave Shanghai together in the vehicle. When committing crime, a suspect often regards a building as a unit, climbs up via the external wall, breaks the fence, and steals ""floor by floor"" from top to bottom. The suspect has been transferred to the Xuihui District Procuratorate by the Xuhui public security branch for review and prosecution. The police reminded the public to lock the doors and windows of their homes properly before going out. As for the choice of burglar-proof windows, the public were advised to choose steel of a harder material.","Shanghai police have arrested more than 3,400 thieves in four months and cracked down on 157 ""robbery and deception"" gangs While investigating the case, police also recovered more than 33 million yuan in stolen money and property. According to the statement of the members of the theft gang, they entered Shanghai from other parts of the country by taking a black car in a package, then alighted and committed the crime separately, and then joined their cars and left Shanghai together several hours later. Crime in the course of the suspect is often a building as a unit, the use of external climbing, breaking the security fences from the top to the bottom of the ""sweeping"" theft. A few days ago, the suspect in the case has been transferred by the Xuhui Public Security Bureau to the Xuhui District Prosecutor's Office for examination and prosecution. Police remind the general public that they must lock their doors and windows when they go out. For the choice of anti-theft windows, members of the public are advised to choose steel with stronger materials.",
ifeng0812.news.49767202_0,E-10,从表面上看，网络社交平台扩大了交际圈，降低了人们的孤独感。网络社交的势力范围越发广泛，不仅逐渐取代传统的电话联络，甚至渗入到线下真实的生活圈，悄然改变当下民众的社交生活。线上社交的好处是显而易见的，比如方便快捷，所以特别容易受到年轻族群的青睐。一项针对大学生社交习惯的调查显示，57%的大学生每天使用手机的时间超过5小时，日常生活基本“机不离手”。“社交网络具有低成本、传输速度快、多人同时交流等特点，符合当代大学生的需求。”扩大人际关系圈，更平等地对话，避免社交顾虑，才是我们越发深爱线上聊的主要原因。刚进公司的新人热爱跟同事线上交流，“因为才进单位大家不太熟，通过社交平台的点赞评论，关系才比以前近了许多”。爱交友的也常用线上交流，“之前跟朋友因为一些误会有段时间没联络了，后来在一个大群里先对话几句才又热络起来。”IT工程师吴言是深度网络社交爱好者，他大部分的社交生活都发生于线上，网络联系人更数倍于线下朋友圈人数。吴言自己也坦言在网络上更“如鱼得水”。“可以在自己方便愿意的时候回复朋友，因为有很多斟酌字句的时间，表述也能更清楚。”“隐藏在ID之下的你来我往避免了面对面的人际碰撞，不仅有了回旋的余地，甚至给了彼此更多思忖言行的时间和空间。”“不同身份的人有了同样发言的权利和效率，现实生活中的种种社交顾虑，在网络空间似乎都一下消除。”然而吴言的朋友小鹏却觉得，生活中的吴言是个“蛮无趣的宅男”。小鹏和吴言在一个大群里相识，因为两人都是积极发言者，很快就熟络起来了。小鹏觉得吴言跟网络上判若两人，言语枯燥，也不主动发表意见，翻来覆去就是几句“呵呵，好的，是吗”，要不就是“这个我要上网查一下”。,"On the surface, social networking platforms have widened the social circle and reduced loneliness. The scope of influence of online social networking has become increasingly widespread. Not only has it gradually replaced traditional phone communication, it has even permeated actual offline living circles, quietly changing the social activities of the masses. The benefit of online social networking is obvious. It is easy and convenient, and is therefore much preferred by younger demographics. A survey investigating college student socializing habits found that 57% of college students spend more than 5 hours a day on cellphones, literally making cellphones ""inseparable"" during everyday lives. ""The characteristics of social networks include being low-cost, having fast transmission rates, and allowing many people to interact simultaneously. This suits the needs of contemporary university students. Expanded relationship circles, being able to chat on equal footing, and avoidance of social stigma are the main reasons why we become increasingly fond of online chat. The newcomers enjoy online communication with other employees, "" because we are not familiar with each other at the beginning. But the 'like' and comment in the social media will close the distance."" People who enjoy making friends also used online networking. ""I haven't been contacting a friend for a while due to some misunderstanding. We then shared a few words in a larger group and things got better from there."" IT engineer Wu Yan is strong fan for social networking, and spends most of his socializing time and life online, with many more online contacts than friends he meet offline. Wu Yan himself honestly said that he feels like ""fish returned to the water"" when he goes online. ""You may reply to a friend when you are willing at a time that is convenient for you to do so because there is plenty of time for you to deliberate the wordings, and you can also express yourself more clearly."" ""The ID provides one with a cover to avoid all face-to-face interpersonal conflicts, providing one with more room to maneuver and also provided both sides with more time and space to think about what they say."" ""People of different status are given the same rights to speech and the same voice. Various social taboos in real life seem to disappear in the online world."" Xiaopeng, a friend of Wu Yan, felt that the real life Wu Yan is a ""boring geek"". Xiaopeng and Wu Yan met in a big group. As they were both active speakers, they became acquainted very quickly. Xiaopeng felt that Wu Yan was completely different from his online personality. The real Wu Yan used little words and never gave any opinions. The only phrases he would use were: ""Ho ho. Alright. Really?"" or ""I'll check that online.""","On the surface, online social platforms have expanded the social circle and reduced people's feelings of loneliness. The influence of social networking is becoming more and more extensive, not only gradually replacing the traditional telephone contact, and even infiltrated into the real life circle offline, quietly changing people's social life. The benefits of online social networking are obvious, such as convenience and speed, making it particularly popular with young people. According to a survey on college students' social habits, 57 percent of college students spend more than five hours a day using their mobile phones. ""Social networking has the characteristics of low cost, high transmission speed and multiple people communicating at the same time, which meets the needs of contemporary college students."" Expanding the circle of relationships, having more equal conversations, and avoiding social concerns are the main reasons why we love online chatting more and more. Newcomers to the company love to communicate with colleagues online, ""because they are not familiar with the unit, through the social platform praise comments, the relationship is much closer than before."" Love to make friends is also commonly used online communication, ""with friends before because of some misunderstanding did not contact for some time, and later in a large group of first dialogue a few words before they warm up again."" Wu Yan, an IT engineer, is a deep social network enthusiast. Most of his social life takes place online, with online contacts several times larger than the number of offline friends. Wu Yan himself also admitted to being more ""like a duck to water"" on the Internet. ""You can reply to a friend when it's convenient for you, because you have a lot of time to think about words and you can express them more clearly."" ""Hidden under the ID, you and I avoid face-to-face collisions, not only have room to maneuver, and even give each other more time and space to think about words and deeds."" ""People of different identities have the right and efficiency to speak the same way, and social concerns in real life seem to be dispelled in cyberspace."" However, Wu Yan's friend Xiao Peng feels that Wu Yan in life is a ""pretty boring house man."" Xiao Peng and Wu Yan met in a large group because they were both active speakers and soon became familiar with each other. Xiao Peng feels that Wu Yan is different from the Internet, the language is boring, do not take the initiative to express their views, flipping over and over is a few words, ""Oh, OK, is it"", or ""This I want to check on the Internet.""",
