wmt_article_id,wmt_line_number,exp_item_number,src,human,mt,spam
sina0812.tech.doc-ifxuxnai9861987-p3,1825,O-1,nubiaZ11mini延续了其一贯的卓越拍照基因，并配备了单手更易握持的5.0英寸屏幕、便捷易用的后置指纹识别，成就了其出众的使用体验。,"The nubiaZ11min inherited its customary excellent photographic gene. Equipped with a single hand easy-to-hold 5-inch screen as well as a convenient and easy-to-use fingerprint identification setup at the back, its user experience is outstanding.","The nubiaZ11mini continues its tradition of superior photography with a 5.0-inch screen that is easier to hold with one hand, and easy-to-use rear fingerprint recognition for a superior user experience.",
ifeng0812.news.49765726_0,748,O-2,巴塞罗那的“明代文物展”是欧洲巡展的一部分，将持续到10月初。,"Barcelona's ""Ming Dynasty Artifact Exhibit"" is part of a European tour that will last till early October.","Barcelona's ""Exhibition of Cultural Relics of the Ming Dynasty"" is part of a European tour that will run until early October.",
peopledaily0812.health.c404177-28631549,1530,O-3,对于老年朋友，韩志远建议，尽量不要为了看奥运比赛而熬夜，特别是有心血管疾病史的群体。,"For fellow senior citizens, Han Zhiyuan recommend avoiding staying up all night to watch the Olympics, especially those who have a history of cardiovascular diseases.","For older friends, Han suggests trying not to stay up late to watch the Olympics, especially for groups with a history of cardiovascular disease.",
ifeng0812.news.49767844_0,1110,O-4,由于该嫌疑人系盗窃惯犯，屡次被公安机关打击处理过，具有较强的反侦察能力，加上他长期吸毒，讯问中毒瘾时常发作，审讯工作非常困难。,"As the suspect was a serial thief, and had been arrested and punished by the public security bureau, he had fairly strong anti-reconnaissance ability. Coupled with the fact that he was a drug addict, his addiction frequently occurred during questioning, making interrogation very difficult.","Due to the fact that the suspect is a habitual thief and has been dealt with repeatedly by the public security organs, he has a strong ability of counter-detection, coupled with his long-term drug use, drug addiction often occurs during interrogation, and interrogation is very difficult.",
ifeng0812.news.49765262_0,642,O-5,她称在安特卫普所买的钻石，购入价为每克拉约五万五千元，同品质的钻石在厦门的零售价约十一万一千元。,"She claimed that diamonds purchased at Antwerp sold for a price of about 55,000 RMB per carat. Diamonds of the same quality could fetch a retail sales price of 111,000 at Xiamen.","She claims that diamonds bought in Antwerp cost about $55,000 per carat, while diamonds of the same quality retail at about $111,000 in Xiamen.",
ifeng0812.news.49766667_0,881,O-6,他21岁的儿子在出生13天时因意外坠落导致瘫痪，他一直辛苦工作偿还儿子的医疗费用贷款。,His 21-year old thirteenth payback was after born. an day he He been was the at paralyzed on accidental work to expense loans hard trying has son after fall medical for his son.,His 21-year-old son was paralysed by an accidental fall 13 days after he was born and he has been working hard to pay off his son's medical expenses loan.,human
ifeng0812.news.49767844_0,1107,O-7,此案件发生后，经多家媒体报道后，成为焦点案件，社会影响极坏。,The case resulted in harmful social impact after becoming the spotlight in the media publication.,"After this case, after a number of media reports, became the focus of the case, the social impact is extremely bad.",
xinhua0812..c_1119383791,1990,O-8,检查分为单位自查和重点抽查两种。,The inspection will be divided into two categories - self-inspection by the entity and priority sampling.,The inspection is divided into two types: unit self-examination and key spot check.,
ifeng0812.news.49765900_2,752,O-9,近日，浙江省桐乡市正福村狮子浜的荷博园正式对村民和游客开放。,"A lotus garden at Shizibang in Zhengfu Village, Tongxiang City, Zhejiang Province was officially opened to local residents and tourists recently.","Recently, the Hobo Garden in Shizibang, Zhengfu Village, Tongxiang City, Zhejiang Province, was officially opened to villagers and tourists.",
ifeng0812.news.49764552_0,559,O-10,据俄罗斯国防部介绍，为协助这6架战略轰炸机对叙利亚境内“伊斯兰国”目标实施空中打击，多架俄军战机从叙利亚赫迈米姆空军基地升空提供支持。,"Information given by the Russian Ministry of Defense said that in order to support the 6 strategic bombers to conduct air strikes of ""Islamic State"" targets within Syria, multiple Russian military aircraft has taken off from the Khmeimim Air Base from Syria to provide assistance.","According to the Russian Defense Ministry, in order to assist the six strategic bombers to carry out air strikes against Islamic State (IS) targets in Syria, a number of Russian warplanes launched from the Syrian Khmeimim air base to provide support.",
ifeng0812.news.49765934_0,756,O-11,然而，10日早晨，与跳水池相邻的水球比赛池的水也变成了绿色。,"However, on the morning of the 10th, the water in the water polo pool next to the diving pool also turned green.","However, water from the water polo match pool adjacent to the diving pool also turned green on the morning of Oct.",
peopledaily0812.health.c404177-28631549,1526,O-12,对此，医生特别提醒，熬夜看赛事存在健康隐患，有可能引发心血管疾病。,"For this, doctors specifically mind people that staying up all night to watch TV sports events may be potentially hazardous to health and could lead to cardiovascular diseases.","In response, doctors specifically warned that staying up late to watch the tournament had health hazards that could potentially trigger cardiovascular disease.",
ifeng0812.news.49767497_0,1027,O-13,西藏尼玛县连发4.4、4.5级地震暂未造成人员伤亡,"Consecutive earthquakes registering 4.4 and 4.5 on the Richter scale has occurred at the Tibetan County of Nima, no has been hurt or killed","No casualties caused by successive earthquakes of magnitude 4.4 and 4.5 in Nima County, Tibet",
ifeng0812.news.49767046_0,931,O-14,出租车公司表示，这辆出租车在警方到达前被调度到德赖弗家中。,Taxi companies expressed that this taxi was assigned to Driver's home before the police has arrived.,The taxi company said the taxi was dispatched to Dreyfus' home before police arrived.,
ifeng0812.news.49766664_0,870,O-15,昨日上午10时许，X9003次国际货运班列从西安新筑车站开出，前往哈萨克斯坦的阿拉木图。,"At about 10am yesterday, the X9003 international freight train heading to Almaty, Kazakhstan departed from Xinzhu train station in Xi'an.","At about 10 a.m. yesterday, the X9003 international freight train left Xian Xinzhu Station for Almaty, Kazakhstan.",
ifeng0812.news.49766540_0,865,O-16,另外，在相同时间段，新西兰人口自然增长数量为２.８２万人。,"During the same period, the population of New Zealand experienced a natural growth of 28,200 individuals.","Also, the natural increase in New Zealand's population over the same time period was 28.2 million.",
ifeng0812.news.49766540_0,864,O-17,截至今年６月，新西兰１２个月内移民净流入数量为６.９１万人，成为新西兰近年来人口增长的主要驱动力。,"As of June this year, New Zealand's net inflow of migrants totaled 69,100 persons over a 12-month period, and has become a major driver of population growth for the nation in recent years.","New Zealand's net inflow of migrants in the 12 months to June was 691,000, making it the main driver of population growth in recent years.",
ifeng0812.news.49765934_0,755,O-18,据外媒报道，因跳水池池水从蓝变绿，里约奥运“绿池”事件近日备受外界关注。,"Foreign media reported that the Rio Olympics' ""green pool"" incident has attracted much attention recently because of the change in the color of the water in the diving pool from blue to green.","The Rio Olympic ""Green Pool"" incident has come under scrutiny in recent days as the water in the diving pool turned from blue to green, foreign media reported.",
ifeng0812.news.49767046_0,933,O-19,据德国之声报道，视屏中，一名头戴黑色巴拉克拉法帽的男子正在朗读《古兰经》，提到针对穆斯林的罪行，并发誓将很快对加拿大的一座城市发动袭击。,"According to Deutsche Welle, a man wearing a black balaclava in the video cited the Quran, mentioned the crimes committed against Muslims, and swore to initiate an attack against a Canadian city.","In the video, a man wearing a black balaclava was reading the Koran, referring to crimes against Muslims and vowing to carry out an attack on a Canadian city soon, Deutsche Welle reported.",
ifeng0812.news.49764552_0,564,O-20,虽然俄罗斯与西方没有在共同打击叙极端主义势力方面达成协议，但俄会在此方面加强与叙利亚、伊朗、伊拉克等方面的合作。,"Although Russia and the West have yet to achieve a consensus in beating back extremist forces in Syria, Russia will be stepping up its partnerships with Syria, Iran, and Iraq relating to this matter.","Although Russia and the West have not reached an agreement to jointly combat extremist forces in Syria, Russia will strengthen cooperation in this regard with Syria, Iran, Iraq and other parties.",
sina0812.tech.doc-ifxuxnai9861987-p3,1826,O-21,nubia旗下刚刚上市的小屏拍照手机Z11mini降价200元，即从原来的1499元降至1299元。,"The nubia Z11 mini, a small screen camera phone that has just been released, is provided with another 200 RMB discount, reducing its price from 1,499 RMB to 1,299 RMB.","Nubia's newly listed small screen photo phone, the Z11mini, reduced its price by $200, or $1,299, from $1,499.",
ifeng0812.news.49765934_0,761,O-22,澳大利亚队与日本队比赛期间，水球池的环境条件逐步恶化，但官方强调他们会在11日将两个泳池的水质恢复到原来的颜色。,"During the competition between the Australian and Japanese teams, conditions and environment of the water polo pool continued to worsen. However, officials emphasized that they will restore the two swimming pools to their original quality and color on the 11th.","Environmental conditions in the water polo pools deteriorated during the Australian team's match against Japan, but officials stressed they would return the water quality in both pools to its original colour on Nov.",
ifeng0812.news.49765262_0,639,O-23,而安特卫普为全球最大的钻石交易中心之一，当地工匠的钻石切割技术名满天下，所出售的钻石经过严格鉴定，深受内地女士的欢迎。,Antwerp is the largest diamond trading center in the world. Diamond cutting skills of local craftsman are famous throughout the world. The diamonds sold through the city have been stringently classified and are extremely popular amongst women in China.,"And Antwerp is one of the world's largest diamond trading centres, with local artisans renowned for their diamond-cutting skills, and the diamonds sold are highly qualified and popular with mainland women.",
ifeng0812.news.49766664_0,878,O-24,为了满足未来发展需要，西安铁路局以新筑车站为中心的西安新筑铁路综合物流中心建设规划已经出台，全力打造现代化的新筑铁路综合物流园区。,"To meet the requirements for future development, the Xi'an Railway Bureau has released plans for constructing the Xi'an Xinzhu Rail Integrated Logistics Center with Xinzhu Railway Station as its center. The Bureau will focus its energy on building a modern Xinzhu Rail Integrated Logistics Park.","In order to meet the needs of future development, Xi'an Railway Administration has launched the construction plan of Xi'an Xinzhu Railway Integrated Logistics Center centering on the new railway station, making every effort to create a modern new railway integrated logistics park.",
ifeng0812.news.49766058_0,800,O-25,35℃以上37℃以下的，按每人每天不低于10元标准发放；37℃以上的，按每人每天不低于15元标准发放。,"At temperatures equal or more than 35℃ and less than 37℃, each person shall be given a fee of not less than RMB10 per day. At temperatures higher than 37℃, each person shall be given a fee of not less than RMB15 per day.","If the temperature is above 35 ° C and below 37 ° C, the standard is not less than 10 yuan per person per day, and if the temperature is above 37 ° C, the standard is not less than 15 yuan per person per day.",
ifeng0812.news.49766664_0,877,O-26,2015年，新筑车站全年货运吞吐量247.7万吨，截至2016年8月10日，货运发送量已经达到153.1万吨，较去年同期增长6.7%。,"In 2015, the annual throughput of the newly constructed station totaled 2,477,000 tonnes. As of August 10, 2016, freight shipments have already reached 1,531,000 tonnes, up 6.7% year-on-year.","In 2015, the new station handled 2.477 million tons of freight for the whole year, and as of August 10, 2016, the volume of freight sent had reached 1.531 million tons, an increase of 6.7% over the same period last year.",
xinhua0812..c_1119383791,1991,O-27,市社团办相关负责人介绍，本次检查范围包括2013至2015年度在市社团办领用社会团体会费统一收据的社会团体。,"The relevant person in charge of the municipal office for clubs, associations and societies said that the scope of this inspection includes community groups that received and used uniform invoices for membership dues between 2013 and 2015.","According to the official in charge of the municipal association office, the scope of this inspection includes the social organizations that received a unified receipt for membership fees from social organizations in the city from 2013 to 2015.",
ifeng0812.news.49766281_0,856,O-28,由于中国出口的石油产品对亚洲市场行情的影响巨大，对茶壶炼油厂的关注度也越来越高。,"As the an conditions, products has enormous China have on petroleum refineries exported the teapot Asian by focus on impact market also increased.",There has also been growing interest in teapot refineries as Chinese exports of petroleum products have a huge impact on the Asian market.,human
ifeng0812.news.49766540_0,869,O-29,同时，６５岁以上的老龄人口增幅同样为３.６％，达到７０万人。,"At the same time, the population of senior citizens 65 years and older grew similarly by 3.6% to 700,000 people.","At the same time, the increase in the elderly population over the age of 65 was also 3.6 percent, reaching 7 million people.",
ifeng0812.news.49766667_0,882,O-30,“从空难中逃脱是神给了我二次生命，而又给了我这笔钱让我行善，”赫达尔说。,"""Escaping from the air crash was God giving me a new lease on life. He then gave me this sum of money so that I can perform charitable acts,"" said Haider.","""It was life good,"" the a to second at chance me who God gave and money me gave do Hedar said.",mt
ifeng0812.news.49765262_0,643,O-31,她日前以购入价加两成，把代购的钻石全部售出，一次过大赚二十万元。,"She sold all the diamonds she purchased as agent at a 20% premium to the purchase price, and made a huge lump-sum profit of 200,000 yuan.","A few days ago, she sold all the diamonds on her behalf at a 20% mark-up, making a profit of $200,000 at a time.",
ifeng0812.news.49766281_0,852,O-32,东燃通用石油公司表示，“随着中国国内的石油产品品质标准不断提高，炼油设备的能力也出现提升。,"TonenGeneral Group expressed that: ""As quality standards for petroleum products from China continue to increase, improvements were also observed for the capacities of its oil refining facilities.","""As China's refining of continue oil products for standards its of to equipment,"" quality domestic capacity improve, so the the its the does company said.",mt
sina0812.tech.doc-ifxuxnai9861987-p3,1823,O-33,自iPhoneSE惊艳亮相之后，手机市场也迎来了小屏机的热潮。,"Since it was first revealed, iPhoneSE has initiated a massive hype and a sudden trend for small screen devices for the cellphone market.",The mobile phone market has also seen a boom in small screens since the stunning debut of the iPhone SE.,
ifeng0812.news.49764552_0,566,O-34,今年3月15日，俄驻叙主要军事力量开始撤离，但俄方承诺会继续保留驻赫迈米姆空军基地和驻塔尔图斯海军基地。,"On March 15 this year, Russia has withdrawn its main military forces for Syria. However, Russia promises that it will continue to maintain a garrison at the Khmeimim Air Base and Tartus Naval Base.","March 15 this year, the main Russian military forces in Syria began to withdraw, but the Russian side pledged to continue to maintain the Hermeimim air base and naval base in Tartus.",
ifeng0812.news.49766058_0,807,O-35,同时由于高温津贴是工资的一部分，不是福利，要纳入工资总额、扣减个税。,"Also, since the high temperature subsidy is considered part of the salary and not a benefit, it is included in total salary and subject to the personal income tax.","At the same time, since the high temperature allowance is part of the salary and not a benefit, it is included in the total salary and deducted from the tax.",
ifeng0812.news.49765323_0,645,O-36,据外媒报道，当地时间10日，英国首相府唐宁街宣布：英国首相特蕾莎·梅将到瑞士度过暑假，但没有透露具体的休假地点。,"Overseas media reported that at 10 AM, local time, the British Prime Minister's residence at Downing Street announced: British Prime Minister Teresa May will be taking her summer vacation at Switzerland. However, no information has been provided on the exact location of her trip.","British Prime Minister Theresa May is to spend her summer holidays in Switzerland, Britain's prime minister Downing Street announced Thursday, without giving details of where she will be taking the holiday, foreign media reported.",
ifeng0812.news.49766540_0,866,O-37,数据显示，最近１０年里，新西兰年均移民净流入数量为２.１８万人，年均人口自然增长数量为３.２３万人。,"Figures indicate that in the last decade, New Zealand's average annual net migration flow was 21,800 persons, and the average annual organic population growth was 32,300 persons.","The figures show that over the last 10 years, New Zealand has had an average annual net inflow of migrants of 2.18 million and an average annual natural population growth of 3.23 million.",
ifeng0812.news.49765323_0,652,O-38,6月23日英国公投决定脱欧，但英国新首相不愿在年底前启动里斯本条约有关成员国脱欧的第50款内容。,"In June 23, the British launched a referendum to leave the European Union (EU). However, the new British Prime Minister is unwilling initiate the contents of Article 50 of the Treaty of Lisbon regarding to withdrawal of member states from the EU before the end of the year.","The UK voted to leave the EU in a referendum on 23 June, but Britain's new prime minister is reluctant to trigger Article 50 of the Lisbon treaty on member Brexit before the end of the year.",
ifeng0812.news.49765934_0,762,O-39,里约奥运会发言人安德拉达(Mario Andrada)表示：“昨天午后，跳水池中的水碱性程度首先变弱。”,"Mario Andrada, the spokesman of Rio Olympic Games said:"" the alkaline level of the diving pool decreased from yesterday afternoon.""","""The water in the diving pool was the first to weaken in alkalinity yesterday afternoon,"" Rio Olympic spokesman Mario Andrada said.",
ifeng0812.news.49767844_0,1108,O-40,案件发生后，海口市公安局刑警支队领导高度重视，立即组织支队一大队精干警力主动出击展开侦查。,"After the case occurred, leaders of the criminal police department of the  Haikou public security bureau attached great importance to the matter, and immediately organized a team of elite police force to initiate the investigation.","After the case, Haikou Municipal Public Security Bureau, the leadership of the criminal police detachment attaches great importance to, immediately organized a detachment of elite police force to take the initiative to launch an investigation.",
ifeng0812.news.49766058_0,802,O-41,按照这一标准，上个月高温天气天数最多的开州能领到330元，天数最少的城口则是80元，而酉阳最高温由于没达到高温标准外，所以没有高温津贴。,"According to this criteria, Kaizhou, which experienced the most number of high-temperature days last month would receive RMB330, while Chengkou which experienced the least number of days would received RMB80. As the highest temperature in Youyang did not exceed the high temperature benchmark, it did not receive any high-temperature subsidy.","According to this standard, last month, the highest number of days of hot weather in Kaizhou can receive 330 yuan, the number of days the least Chengkou is 80 yuan, and Youyang the highest temperature due to not meet the high temperature standards, so there is no high temperature allowance.",
ifeng0812.news.49766664_0,874,O-42,据了解，中亚班列首趟运载的货物均为“陕西制造”，而如今，它已吸引大量的外地货源积极上列。,"According to information, the goods carried by the first Central Asian trip are entirely ""made in Shaanxi"". Today, it has attracted a large volume of commodities from other areas and eagerly waits to be loaded onto the trains.","It is understood that the first shipment of the Central Asian class are ""made in Shaanxi,"" and now, it has attracted a large number of foreign sources actively on the list.",
sina0812.news.doc-ifxuxhas1624320,1739,O-43,韩某称案发前他和流浪汉肖某都住在东城区一胡同内的地上，两人相距20多米。,"Han said that prior to the incident, he and the homeless person Xiao lived at the same alley in Dongcheng District. They were only 20 meters from each other.","Han said before the crime he and tramp Xiao are living in an alley in the Dongcheng District on the ground, the two are more than 20 meters apart.",
ifeng0812.news.49765934_0,759,O-44,但是澳大利亚运动员在与日本代表队在水球池进行比赛获得胜利之后表示，眼睛感到刺痛。,"However, athletes from the Australian team expressed that they felt stinging pain in their eyes after beating the Japanese team in the water polo pool.",But Australian athletes said after their victory against the Japanese team in the water polo pool that they had a tingling in their eyes.,
